,Número de registro,Outros números,Denominação,Resumo descritivo,Título,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Estado de conservação,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Condições de reprodução
10,6482,,Pintura histórica,"Cena de batalha naval retratada à noite, iluminada pelo luar. Em primeiro plano, mar com pequenas ondas. À esquerda, embarcações com homens no interior, alguns caídos na água em movimento de combate, carregam espadas. Ao centro, embarcação a vapor, com bandeira verde e amarela. Ao fundo, grande quantidade de fumaça e tiros retratados em vermelho; duas pequenas ilhas à direita e ao centro com espessas árvores e coqueiros. Céu azul escuro com nuvens brancas, tendo ao centro lua cheia em amarelo, circundada por anéis coloridos. Assinatura do autor no canto inferior direito: E. de Martino. Moldura dourada.",Abordagem do Encouraçado Barroso e Monitor Rio Grande,Edoardo De Martino,óleo | tela,Brasil,[1868],02 Artes Visuais/Cinematográfica > 02.6 Pintura,Restaurado,140.5,197.5,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
11,6528,,Pintura histórica,"Pintura histórica retratando, ao centro, grande embarcação em mar revolto. À direita desta pequena embarcação, e ao fundo, à esquerda, outra embarcação de maior porte. Ao fundo, outra embarcação em tons negros. Fundo em tons brancos, cinzas e azuis. Assinatura do autor no canto inferior esquerdo, quase ilegível: E. de Martino. Moldura em madeira dourada.",Fragata Francesa,Edoardo De Martino,óleo | tela,Brasil,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,80,150.5,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
12,6568,,Pintura histórica,"Retratação de cena de batalha naval. À direita, quatro navios da esquadra brasileira, que atacam o Forte de Curuzu. À esquerda, fortificação da costa, uma bateria e soldados, um oficial a avalo, que aponta em direção ao combate que se trava à direita, e, ao lado deste, a bandeira paraguaia desfraldada num mastro. Ao fundo, à esquerda, o Forte de Curuzu, o telhado de uma casa e barracas de acampamento. Perto da margem, ao fundo e à esquerda, canoa a remo com homens em seu interior. Céu em tom azul claro com nuvens e fumaça em tons cinca e negro das embarcações. Assinatura do autor no canto inferior direito: E. de. Martino.",Bombardeio de Curuzu,Edoardo De Martino,óleo | tela,Brasil,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,104.5,164,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
13,6569,,Pintura histórica,"Cena retratada em riacho ao anoitecer. Em primeiro plano, à esquerda da margem, grupo de barracas armadas tendo ao redor vegetação rasteira, uma pequena fogueira acesa e um mirante. Água com tonalidades azuis, rosas e esverdeadas. À direita, pequena canoa ao largo com vários homens. Em segundo plano, ao centro, duas canoas ao largo com grande número de homens em seu interior. Ao fundo, vegetação com palmeiras e árvores, e, à direita, um bando de gaivotas brancas. Céu azul com nuvens brancas e vermelhas. Assinatura do autor e datação no canto inferior direito: E. de. Martino/1868. Moldura em madeira dourada.",Canoas em vigília no Chaco,Edoardo De Martino,óleo | tela,Em pesquisa,1868,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,132,75.5,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
14,401,,Pintura histórica,"Em primeiro plano, mar azul com ondas em tom avermelhado e três gaivotas brancas voando à direita e seis à esquerda. À direita, barril tendo ao centro uma vareta com um balão na extremidade que o faz boiar. Em segundo plano, no centro da tela, embarcação com proa à frente e velas içadas, casco marrom, reflexo na água. Na extremidade do convés, grupo de homens observa escaler na água com marinheiros remando e portando a bandeira inglesa. Dois escaleres prestes a descer ao mar. À direita, embarcação mista com chaminé e velas, casco azulado com duas tarjas brancas ao longo do costado com baterias corridas, vários homens se movimentam no convés. À esquerda, embarcação ao largo com três mastros e chaminé. Ao fundo, à direita, navios. Céu azul com horizonte amarelado e pequenas nuvens rosadas. Assinatura do autor no canto inferior esquerdo: E. De Martino/24 agosto 74. No canto inferior direito, aparenta ter uma dedicatória ilegível.",Naus e fragatas inglesas no ancoradouro,Edoardo De Martino,óleo | tela,Brasil,24/08/1874,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,111,184.5,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
15,267,,Retrato (pintura),"Em primeiro plano, ao centro da tela, retrato de Tiradentes de pé, corpo inteiro, perna direita à frente, rosto voltado para a direita, olhar para cima. Cabelos longos presos para trás formando um rabicho. Traja farda de cavalaria do século XVIII composta de camisa branca com gola jabor, colete vermelho, casaca azul com dragonas cor de prata, faixa envolvendo a cintura. Calça amarelada com botas de canhão na cor preta, com esporas, meias brancas altas entre as botas e o calção. Mão direita estendida ao longo do corpo carregando chapéu armado, mão esquerda ligeiramente flexionada e pousada na espada, tendo ao lado pasta com o monograma de Dona Maria I sob coroa real portuguesa. Ao fundo, à direita, dois cavalos alimentam-se, estando um montado por soldado com uniforme vermelho, azul e branco. Recortes das montanhas do Itacolomi, vegetação e céu azul com nuvens cinzas complementam a cena. Na parte inferior da tela, faixa na cor branca com a inscrição: Alferes Joaquim José da Silva Xavier. O 'Tiradentes'. Assinatura do autor e datação no canto inferior esquerdo: J. W. R. 1940. Moldura em madeira dourada.","Alferes Joaquim José da Silva Xavier. ""O Tiradentes""",José Wasth Rodrigues,óleo | tela,Brasil - Rio de Janeiro,1940,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Restaurado,156,198.00,0.0,,,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
16,852,,Pintura documental,"Em primeiro plano, quatro grandes árvores copadas em tons verde escuros. À esquerda, casario em três pavimentos com janelas paralelas. Na fachada, sombra das copas das árvores. Ao fundo, continuação do casario e à direita, início da Ladeira da Misericórdia. Assinatura do autor e datação no canto inferior direito em tinta escura: Ruy Campello/944. Moldura em madeira dourada.",Largo da Misericórdia,Rui Alves Campelo,óleo | tela,Brasil - Rio de Janeiro,1944,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,74.3,62.5,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
17,568,,Pintura documental,"Tela de formato oval retratando, em primeiro plano, mar azul escuro com pequenas ondas brancas. À direita, em uma ilhota, fortaleza de cor marrom com soldados em suas guaritas e, ao lado, casario branco. À frente, no cais, dois homens fazem um carregamento. No mar, pequena canoa com homem remando, tendo hasteada bandeira branca com escudo ao centro. Logo atrás, embarcação com velas enfunadas com a mesma bandeira. À esquerda, pequeno barco com casco marrom e vermelho com velas recolhidas e grupo de homens em seu interior. Em segundo plano, tomando todo o campo da tela, várias embarcações de grande porte com velas brancas enfunadas, flâmulas vermelhas e bandeira inglesa hasteada. No casco, bateria corrida de canhões que atiram, formando pequenas partes brancas esfumaçadas. À frente, pequenos barcos a remo com grande número de pessoas. Ao fundo, recortes de montanhas com algum casario. Céu azul com nuvens brancas avermelhadas.",Visita de uma esquadra inglesa ao Rio de Janeiro,Leandro Joaquim (atribuído),óleo | tela,Brasil - Rio de Janeiro,17--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,96.1,125.3,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
18,3179,,Pintura documental,"Tela de formato oval retratando, em primeiro plano, mar azul escuro com grande número de embarcações festivamente embandeiradas, que se aproximam da margem. Em um dos barcos, vê-se grupo de negros tocando instrumentos musicais, senhoras sob guarda-sol e, em outro barco, uma bandeira do divino espírito santo. Em segundo plano, na encosta do morro, algumas pessoas andam a cavalo e outras descansam sob árvores, veem-se várias barraquinhas. No alto, à esquerda, construção branca em dois pavimentos, tendo bandeira branca, vermelha e azul hasteada. Ao redor, pessoas caminham. Ao lado, riacho com moinho de roda. Ao fundo, recortes de montanhas em azul. Céu azul claro com nuvens brancas. Moldura em madeira dourada.",Procissão marítima diante do Hospital dos Lázaros,Leandro Joaquim (atribuído),óleo | tela,Brasil - Rio de Janeiro,17--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,96.1,125.3,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
19,6213,,Pintura documental,"Em primeiro plano à esquerda, mulher agachada de costas tendo ao lado bacia, ao fundo varal com roupas estendidas. Ao centro, grupo de cinco crianças rodeadas por galinhas e pintos e, de frente, caminhando, figura feminina com saia longa e avental. À direita homem carregando cesta, tendo ao seu lado uma cabra. Ao fundo construção em tons avermelhados dando um aspecto de envelhecimento, apresenta grande porta com a parte superior arredondada, cunhais de pedra com frontão retilíneo decorado com volutas e a inscrição 1715. No alto da construção, criança de pé com vestido branco. Céu azul com pequenas nuvens brancas. Assinatura do autor e datação no canto inferior esquerdo: G Dall'Ara 1922. Moldura em madeira dourada.",Forte do Morro do Castelo,Gustavo Dall'Ara,óleo | tela,Brasil,1922,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,110,94,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
20,3180,,Pintura documental,"Tela de formato oval retratando, em primeiro plano, mar verde escuro com duas pequenas embarcações que chegam ao cais. Ao centro, chafariz ladeado por escadaria. Em segundo plano, seguem-se vários regimentos alinhados nos quatro lados do largo, e, compondo o ambiente, vários prédios públicos e religiosos com bandeiras hasteadas. Ao centro, grupo de homens ilustres e sacerdotes observam e recebem as homenagens dos regimentos. Populares assistem a solenidade. Céu azul com nuvens brancas. Moldura em madeira dourada.",Revista militar no Largo do Paço,Leandro Joaquim (atribuído),óleo | tela,Brasil - Rio de Janeiro,17--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,96.1,125.3,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
21,6227,,Pintura documental,"No primeiro plano, pedras, montes de areia e máquinas com guindastes. No fundo, morro alto, em declive, encimado à esquerda por ruínas de casas. À direita, pedras e ruínas distantes em tons ocres e terra. Céu com grandes nuvens em tons brancos, cinza e lilás. Assinatura do autor e datação no canto inferior direito em tinta marrom: J. Baptista/1923. Moldura em madeira estucada, dourada, com motivos conchiformes e flores nos ângulos. No centro da parte inferior, pequena placa metálica com a inscrição: J. Baptista reminiscência do castelo.",Reminiscência do Morro do Castelo,João Baptista da Costa,óleo | tela,Brasil - Rio de Janeiro,1923,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,39.5,62.2,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
22,6345,,Pintura documental,"Na parte inferior, detalhe de rua e calçada. No centro, chafariz branco com embasamento ocre, constituído, na parte superior, de pilastras sustentando fragmentos de frontão, placa com inscrições ilegíveis, painel de azulejos, duas bicas e tanque, frontão piramidal e pináculo; nas laterais, muros e portas. À esquerda, árvore e parte de fachada de casa com duas janelas. À direita, árvore e detalhe de fachada com porta. No fundo, telhados, escadaria, laterais de casas e vegetações. Assinatura do autor e datação no canto inferior direito em tinta vermelha, comprometida por perdas da camada pictórica: A. CORRE COS A/1920. Baguete em madeira lisa e avermelhada, envernizada.",Chafariz do antigo cais da Glória,A. Correa Costa,óleo | tela,Brasil - Rio de Janeiro,1920,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,30.5,49.8,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
23,6368,,Pintura documental,"Exterior de arquitetura religiosa. Do lado esquerdo, uma escadaria que leva à igreja. Esta é branca, com cunhais de pedra, frontão retilíneo encimado por uma cruz. Corpo formado por uma janela longa e retangular, ladeada por outras duas janelas menores. Torre lateral única. Parte da entrada colocada na lateral. Do lado esquerdo, ao fundo, vegetação formando jardim. Assinatura do autor e datação no canto inferior esquerdo em tinta vermelha sobre incisão: Ruy Campello/946. Moldura em madeira estucada, dourada, abaulada no centro, com florões nos cantos.",Convento de Santa Teresa,Rui Alves Campelo,óleo | tela,Brasil - Rio de Janeiro,1946,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,66.5,77.3,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
24,6367,,Pintura documental,"Chão em tons ocres, róseos e terrosos. No centro, quatro árvores com folhagens verde claras e, sob estas, seis freiras com hábitos nas cores preta e branca, de costas, caminhando em pares. Na lateral esquerda, parede ocre com espécie de muxarabi e sequência dupla de janelas retas (parte posterior da Casa do Trem/Museu Histórico Nacional). À direita, lateral de prédio de três andares, com sequência tripla de janelas retas e portas no térreo (parte posterior da Santa Casa de Misericórdia). No fundo, detalhes de prédios e céu. Assinatura do autor e datação no canto inferior direito em tinta marrom: Jordão/1929. Moldura em madeira estucada, dourada, abaulada no centro, com folhagens estilizadas nos ângulos.",Trecho da Rua da Misericórdia,Jordão de Oliveira Nunes,óleo | tela,Brasil - Rio de Janeiro,1929,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,92.3,121.9,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
25,6550,,Pintura documental,"Cena retratando, em primeiro plano, à esquerda, construção em dois pavimentos com correr de janelas. À esquerda, vê-se parte da lateral de uma igreja, tendo a porta principal ladeada por lampiões. Ao centro, caminho em pé de moleque, onde se observam três crianças; duas meninas de vestido na cor abóbora e vermelho, carregando trouxa, e um menino de calça preta e blusa branca. Ao fundo, à direita, esquina com casario nas cores branca, azul, amarela e avermelhada. Num ponto elevado, vê-se lateral de uma igreja com frontão encimado por cruz. Ao fundo, recortes de montanha em tons azulados e árvores. Céu azul. Assinatura do autor, local e datação no canto inferior esquerdo: PASTANA, PARATY 950. Inscrição na parte de trás da tela: Rosário - Parati - E. Rio. Carimbo ilegível. Moldura em madeira.",[Igreja do Rosário - Paraty],Manoel de Oliveira Pastana,óleo | tela,Brasil,1950,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,94,83,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
26,123274,,Paisagem (pintura),"Paisagem com fundo em tons azul, bege e branco, onde se observa extensa cadeira de montanhas, tendo à frente massa de água entrecortada por elevações povoadas por pequenas construções e vegetação. Mais à frente, vista de uma fortaleza. Moldura em madeira.",Paisagem,Não identificado,óleo | tela,Em pesquisa,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,64.5,145.5,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
27,792,,Pintura documental,"Em primeiro plano, areal com alguma vegetação. À esquerda, fachada lateral de uma construção civil na cor rosa. Porta em forma de arco encimada por frontão retilíneo, tendo ao centro óculo. Casa em três pavimentos sustentados por colunas. Muro baixo com portão fechado. À frente, poste de luz. À direita, mar, tendo ao fundo recorte de montanhas. Assinatura do autor, datação e dedicatória ilegível: A la Sra. D? Carmen Tadareo.../amigo Pinelo 1910. Moldura em madeira dourada.",Atelier Bernardelli,José Pinelo Llull,óleo | tela,Brasil,1910,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,54,62,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
28,793,,Pintura documental,"Em primeiro plano, ao centro, ladeira. À direita, bloco de pedras em tons avermelhados. Sobre o paredão, sobrados azuis e alaranjados. À frente, construção na cor branca com telhado em forma piramidal. Céu azul com algumas nuvens brancas. Assinatura do autor e datação no canto inferior direito: EDGARD PARREIRAS/1922. Moldura em madeira dourada com florões nos quatro cantos.",Ladeira do Castelo,Edgard Parreiras,madeira | óleo,Brasil - Rio de Janeiro,1922,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,44,36,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
29,794,,Pintura documental,"Em primeiro plano, calçamento de ruas apresentando a linha dos trilhos do bonde. Ao centro, chafariz e enquadramento arquitetônico em forma de pórtico ladeado por colunas encimadas por pináculos. Pedra central com a inscrição: O REY/POR BEM/DO/SEU POVO/M.F.E.O./PELA POLÍCIA/1817. Em segundo plano, casario nas cores azul, vermelho e ocre. Ao fundo, cinco palmeiras e vegetação. Assinatura do autor e datação no canto inferior direito: A Correa Costa/1920. Moldura em madeira envernizada lisa.",Chafariz da Rua Riachuelo,A. Correa Costa,óleo | tela,Brasil - Rio de Janeiro,1920,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,49,40,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
30,795,,Pintura documental,"Fachada na cor ocre de arquitetura civil. Ao centro, escadaria, que leva a três portas em forma de arco, protegida por uma marquise. Sobre essa, faixa com a inscrição: ALFANDEGA, encimada por uma abertura em forma de arco com grade, e, ao centro, mastro. Acima, frontão retilíneo. Ladeando a entrada central, seis aberturas circulares gradeadas. Ao fundo, à direita, recortes de algumas construções. Assinatura do autor e datação no canto inferior esquerdo: RUY CAMPELLO/1941. Moldura em madeira dourada.",Alfândega,Rui Alves Campelo,óleo | tela,Brasil - Rio de Janeiro,1941,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,62,73,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
